Subject_Code,Subject_Name,Group,Levels,Page,Notes
IB-EE,Extended essay,Core,,dp-core/extended-essay/,"Core element: a 4,000-word independent research essay"
IB-TOK,Theory of knowledge,Core,,dp-core/theory-of-knowledge/,Core element: the exhibition and the prescribed-title essay
100058,Art history,Individuals and societies,SL,other-dp-subjects-offered-by-the-ib/,"School-based syllabus, offered by authorized schools only"
100068,Astronomy,Individuals and societies,SL,other-dp-subjects-offered-by-the-ib/,"School-based syllabus, offered by authorized schools only"
101711,Brazilian social studies,Individuals and societies,SL,other-dp-subjects-offered-by-the-ib/,"School-based syllabus, offered by authorized schools only"
147712,Business management,Individuals and societies,"SL,HL",individuals-and-societies/business-and-management/,
179711,Digital society,Individuals and societies,"SL,HL",individuals-and-societies/digital-society/,
100164,Economics,Individuals and societies,"SL,HL",individuals-and-societies/economics/,
100222,Geography,Individuals and societies,"SL,HL",individuals-and-societies/geography/,
123711,Global politics,Individuals and societies,"SL,HL",individuals-and-societies/global-politics/,
100680,History,Individuals and societies,"SL,HL",individuals-and-societies/history/,"HL adds one regional route: Africa and the Middle East, the Americas, Asia and Oceania, or Europe"
100449,Philosophy,Individuals and societies,"SL,HL",individuals-and-societies/philosophy/,
100474,Psychology,Individuals and societies,"SL,HL",individuals-and-societies/psychology/,
100532,Social and cultural anthropology,Individuals and societies,"SL,HL",individuals-and-societies/social-and-cultural-anthropology/,
107711,Turkey in the 20th century,Individuals and societies,SL,other-dp-subjects-offered-by-the-ib/,"School-based syllabus, offered by authorized schools only"
100619,World religions,Individuals and societies,SL,individuals-and-societies/world-religions/,
100673,Environmental systems and societies,Interdisciplinary,"SL,HL",sciences/environmental-systems-and-societies/,
184711,Language and culture,Interdisciplinary,SL,other-dp-subjects-offered-by-the-ib/,"Pilot subject, offered by authorized schools only"
150711,Nature of science,Interdisciplinary,SL,other-dp-subjects-offered-by-the-ib/,"Pilot subject, offered by authorized schools only"
100053,Arabic B,Language acquisition,"SL,HL",language-acquisition/language-b/,
100052,Arabic ab initio,Language acquisition,SL,language-acquisition/language-ab-initio/,
117712,Chinese B (Cantonese),Language acquisition,"SL,HL",language-acquisition/language-b/,
117711,Chinese B (Mandarin),Language acquisition,"SL,HL",language-acquisition/language-b/,
100129,Classical Greek,Language acquisition,"SL,HL",language-acquisition/classical-languages/,
100144,Danish B,Language acquisition,"SL,HL",language-acquisition/language-b/,
162711,Danish ab initio,Language acquisition,SL,language-acquisition/language-ab-initio/,
100157,Dutch B,Language acquisition,"SL,HL",language-acquisition/language-b/,
167711,Dutch ab initio,Language acquisition,SL,language-acquisition/language-ab-initio/,
100179,English B,Language acquisition,"SL,HL",language-acquisition/language-b/,
100704,English ab initio,Language acquisition,SL,language-acquisition/language-ab-initio/,
100204,Finnish B,Language acquisition,"SL,HL",language-acquisition/language-b/,
100214,French B,Language acquisition,"SL,HL",language-acquisition/language-b/,
100213,French ab initio,Language acquisition,SL,language-acquisition/language-ab-initio/,
100231,German B,Language acquisition,"SL,HL",language-acquisition/language-b/,
100230,German ab initio,Language acquisition,SL,language-acquisition/language-ab-initio/,
100246,Hebrew B,Language acquisition,SL,language-acquisition/language-b/,
100252,Hindi B,Language acquisition,"SL,HL",language-acquisition/language-b/,
100284,Indonesian B,Language acquisition,"SL,HL",language-acquisition/language-b/,
100283,Indonesian ab initio,Language acquisition,SL,language-acquisition/language-ab-initio/,
100299,Italian B,Language acquisition,"SL,HL",language-acquisition/language-b/,
100298,Italian ab initio,Language acquisition,SL,language-acquisition/language-ab-initio/,
100308,Japanese B,Language acquisition,"SL,HL",language-acquisition/language-b/,
100307,Japanese ab initio,Language acquisition,SL,language-acquisition/language-ab-initio/,
178712,Kiswahili B,Language acquisition,"SL,HL",language-acquisition/language-b/,
178714,Kiswahili ab initio,Language acquisition,SL,language-acquisition/language-ab-initio/,
100334,Korean B,Language acquisition,"SL,HL",language-acquisition/language-b/,
