Board,Qualification,Subject,Syllabus_Code,Paper_Code,Year,Season,Component_or_Unit,Variant,Paper_or_Unit_Code,Difficulty,Grade_A_Threshold,Grade_B_Threshold,Grade_C_Threshold,QP_URL,MS_URL,Examiner_Report_URL,PotatoPapers_Catalogue_URL
CAIE,Cambridge IGCSE,Accounting,0452,Acct. F/M 2024 Paper 12,2024,Spring,1,2,12,,29,23,18,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_m24_qp_12.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_m24_ms_12.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_m24_er.pdf,https://potatopapers.me/#/igcsepapers
CAIE,Cambridge IGCSE,Accounting,0452,Acct. F/M 2024 Paper 22,2024,Spring,2,2,22,,65,55,43,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_m24_qp_22.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_m24_ms_22.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_m24_er.pdf,https://potatopapers.me/#/igcsepapers
CAIE,Cambridge IGCSE,Accounting,0452,Acct. M/J 2024 Paper 11,2024,Summer,1,1,11,,23,18,13,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_qp_11.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_ms_11.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_er.pdf,https://potatopapers.me/#/igcsepapers
CAIE,Cambridge IGCSE,Accounting,0452,Acct. M/J 2024 Paper 12,2024,Summer,1,2,12,,23,18,13,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_qp_12.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_ms_12.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_er.pdf,https://potatopapers.me/#/igcsepapers
CAIE,Cambridge IGCSE,Accounting,0452,Acct. M/J 2024 Paper 13,2024,Summer,1,3,13,,23,18,13,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_qp_13.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_ms_13.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_er.pdf,https://potatopapers.me/#/igcsepapers
CAIE,Cambridge IGCSE,Accounting,0452,Acct. M/J 2024 Paper 21,2024,Summer,2,1,21,,46,33,21,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_qp_21.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_ms_21.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_er.pdf,https://potatopapers.me/#/igcsepapers
CAIE,Cambridge IGCSE,Accounting,0452,Acct. M/J 2024 Paper 22,2024,Summer,2,2,22,,58,41,24,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_qp_22.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_ms_22.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_er.pdf,https://potatopapers.me/#/igcsepapers
CAIE,Cambridge IGCSE,Accounting,0452,Acct. M/J 2024 Paper 23,2024,Summer,2,3,23,,58,41,24,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_qp_23.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_ms_23.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_s24_er.pdf,https://potatopapers.me/#/igcsepapers
CAIE,Cambridge IGCSE,Accounting,0452,Acct. O/N 2024 Paper 11,2024,Winter,1,1,11,,22,17,13,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_w24_qp_11.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_w24_ms_11.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_w24_er.pdf,https://potatopapers.me/#/igcsepapers
CAIE,Cambridge IGCSE,Accounting,0452,Acct. O/N 2024 Paper 12,2024,Winter,1,2,12,,22,17,13,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_w24_qp_12.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_w24_ms_12.pdf,https://bestexamhelp.com/exam/cambridge-igcse/accounting-0452/2024/0452_w24_er.pdf,https://potatopapers.me/#/igcsepapers
