Exam_Board,Qualification,Syllabus_Code,Subject_Name,Component,Component_Number,Component_Title,Marks,Route,Award,Weighting_Percent,Rule
CAIE,Cambridge IGCSE,0452,Accounting,Paper 1,1,Multiple Choice,40,,qualification,30,
CAIE,Cambridge IGCSE,0452,Accounting,Paper 2,2,Structured Written Paper,100,,qualification,70,
CAIE,Cambridge IGCSE,0985,Accounting (9-1),Paper 1,1,Multiple Choice,40,,qualification,30,
CAIE,Cambridge IGCSE,0985,Accounting (9-1),Paper 2,2,Structured Written Paper,100,,qualification,70,
CAIE,Cambridge IGCSE,0548,Afrikaans - Second Language,Paper 1,1,Reading and Writing,60,,qualification,70,
CAIE,Cambridge IGCSE,0548,Afrikaans - Second Language,Paper 2,2,Approximately 50 minutes,40,,qualification,30,
CAIE,Cambridge IGCSE,0600,Agriculture,Paper 1,1,Theory,100,,qualification,70,
CAIE,Cambridge IGCSE,0600,Agriculture,Component 2,2,Practical Coursework,90,,qualification,30,
CAIE,Cambridge IGCSE,7180,Arabic (9-1),Paper 1,1,Writing,50,,qualification,50,
CAIE,Cambridge IGCSE,7180,Arabic (9-1),Paper 2,2,Reading,50,,qualification,50,
CAIE,Cambridge IGCSE,0508,Arabic - First Language,Paper 1,1,Reading and Directed Writing,50,,qualification,50,
CAIE,Cambridge IGCSE,0508,Arabic - First Language,Paper 2,2,Writing,50,,qualification,50,
CAIE,Cambridge IGCSE,7184,Arabic - First Language (9-1),Paper 1,1,Reading,50,,qualification,50,
CAIE,Cambridge IGCSE,7184,Arabic - First Language (9-1),Paper 2,2,Writing,50,,qualification,50,
CAIE,Cambridge IGCSE,0544,Arabic - Foreign Language,Paper 1,1,Approximately 50 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,0544,Arabic - Foreign Language,Paper 2,2,Reading,40,,qualification,25,
CAIE,Cambridge IGCSE,0544,Arabic - Foreign Language,Paper 3,3,Approximately 10 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,0544,Arabic - Foreign Language,Paper 4,4,Writing,40,,qualification,25,
CAIE,Cambridge IGCSE,0538,Bahasa Indonesia,Paper 1,1,Reading and Understanding,50,,qualification,35,
CAIE,Cambridge IGCSE,0538,Bahasa Indonesia,Paper 2,2,Reading and Writing,60,,qualification,45,
CAIE,Cambridge IGCSE,0538,Bahasa Indonesia,Component 3,3,Approximately 9–11 minutes,40,,qualification,20,
CAIE,Cambridge IGCSE,0610,Biology,Paper 1,1,Multiple Choice (Core),40,Core,qualification,30,
CAIE,Cambridge IGCSE,0610,Biology,Paper 3,3,Theory (Core),80,Core,qualification,50,
CAIE,Cambridge IGCSE,0610,Biology,Paper 2,2,Multiple Choice (Extended),40,Extended,qualification,30,
CAIE,Cambridge IGCSE,0610,Biology,Paper 4,4,Theory (Extended),80,Extended,qualification,50,All candidates take one practical paper from a choice of two:
CAIE,Cambridge IGCSE,0610,Biology,Paper 5,5,Practical Test,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0610,Biology,Paper 6,6,Alternative to Practical,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 1,1,Multiple Choice (Core),40,Core,qualification,30,
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 3,3,Theory (Core),80,Core,qualification,50,
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 2,2,Multiple Choice (Extended),40,Extended,qualification,30,
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 4,4,Theory (Extended),80,Extended,qualification,50,All candidates take one practical paper from a choice of two:
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 5,5,Practical Test,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 6,6,Alternative to Practical,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0264,Business,Paper 1,1,Short Answer and Data Response,80,,qualification,50,
CAIE,Cambridge IGCSE,0264,Business,Paper 2,2,Case Study,80,,qualification,50,
CAIE,Cambridge IGCSE,0774,Business (9-1),Paper 1,1,Short Answer and Data Response,80,,qualification,50,
CAIE,Cambridge IGCSE,0774,Business (9-1),Paper 2,2,Case Study,80,,qualification,50,
CAIE,Cambridge IGCSE,0450,Business Studies,Paper 1,1,Short Answer and Data Response,80,,qualification,50,
CAIE,Cambridge IGCSE,0450,Business Studies,Paper 2,2,Case Study,80,,qualification,50,
CAIE,Cambridge IGCSE,0986,Business Studies (9-1),Paper 1,1,Short Answer and Data Response,80,,qualification,50,
