Record_ID,Exam_Board,Qualification,Subject_Name,Syllabus_Code,Exam_Year_From,Exam_Year_To,Is_Current_In_2026,Is_Latest_Published_Version,Syllabus_PDF_URL,Syllabus_Page_URL,PotatoPapers_Subject_Filter,PotatoPapers_Catalogue_URL,PotatoPapers_Paper_Record_Count,PotatoPapers_Has_Catalogue_Records,Availability_Notes,Source_Verification,Verified_On
caie-igcse-0452-2026-2026,CAIE,Cambridge IGCSE,Accounting,0452,2026,2026,true,false,https://www.cambridgeinternational.org/Images/697149-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-accounting-0452/,Accounting(0452),https://potatopapers.me/#/igcsepapers,195,true,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0452-2027-2029,CAIE,Cambridge IGCSE,Accounting,0452,2027,2029,false,true,https://www.cambridgeinternational.org/Images/718141-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-accounting-0452/,Accounting(0452),https://potatopapers.me/#/igcsepapers,195,true,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0985-2026-2026,CAIE,Cambridge IGCSE,Accounting (9-1),0985,2026,2026,true,false,https://www.cambridgeinternational.org/Images/697252-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-accounting-9-1-0985/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0985-2027-2029,CAIE,Cambridge IGCSE,Accounting (9-1),0985,2027,2029,false,true,https://www.cambridgeinternational.org/Images/718200-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-accounting-9-1-0985/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0548-2025-2027,CAIE,Cambridge IGCSE,Afrikaans - Second Language,0548,2025,2027,true,false,https://www.cambridgeinternational.org/Images/663202-2025-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-afrikaans-second-language-0548/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0548-2028-2030,CAIE,Cambridge IGCSE,Afrikaans - Second Language,0548,2028,2030,false,true,https://www.cambridgeinternational.org/Images/745397-2028-2030-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-afrikaans-second-language-0548/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0600-2026-2026,CAIE,Cambridge IGCSE,Agriculture,0600,2026,2026,true,false,https://www.cambridgeinternational.org/Images/697200-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-agriculture-0600/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0600-2027-2028,CAIE,Cambridge IGCSE,Agriculture,0600,2027,2028,false,true,https://www.cambridgeinternational.org/Images/721347-2027-2028-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-agriculture-0600/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-7180-2026-2028,CAIE,Cambridge IGCSE,Arabic (9-1),7180,2026,2028,true,true,https://www.cambridgeinternational.org/Images/712178-2026-2028-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-arabic-9-1-7180/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0508-2026-2026,CAIE,Cambridge IGCSE,Arabic - First Language,0508,2026,2026,true,false,https://www.cambridgeinternational.org/Images/697182-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-arabic-first-language-0508/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0508-2027-2029,CAIE,Cambridge IGCSE,Arabic - First Language,0508,2027,2029,false,true,https://www.cambridgeinternational.org/Images/719278-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-arabic-first-language-0508/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-7184-2026-2026,CAIE,Cambridge IGCSE,Arabic - First Language (9-1),7184,2026,2026,true,true,https://www.cambridgeinternational.org/Images/697270-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-arabic-9-1-first-language-7184/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0544-2025-2027,CAIE,Cambridge IGCSE,Arabic - Foreign Language,0544,2025,2027,true,false,https://www.cambridgeinternational.org/Images/664635-2025-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-arabic-foreign-language-0544/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0544-2028-2030,CAIE,Cambridge IGCSE,Arabic - Foreign Language,0544,2028,2030,false,true,https://www.cambridgeinternational.org/Images/743910-2028-2030-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-arabic-foreign-language-0544/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0400-2026-2026,CAIE,Cambridge IGCSE,Art & Design,0400,2026,2026,true,false,https://www.cambridgeinternational.org/Images/697135-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-art-and-design-0400/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0400-2027-2027,CAIE,Cambridge IGCSE,Art & Design,0400,2027,2027,false,false,https://www.cambridgeinternational.org/Images/729776-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-art-and-design-0400/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0400-2028-2030,CAIE,Cambridge IGCSE,Art & Design,0400,2028,2030,false,true,https://www.cambridgeinternational.org/Images/743279-2028-2030-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-art-and-design-0400/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0989-2026-2026,CAIE,Cambridge IGCSE,Art & Design (9-1) 0989,0989,2026,2026,true,false,https://www.cambridgeinternational.org/Images/697261-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-art-and-design-9-1-0989/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0989-2027-2027,CAIE,Cambridge IGCSE,Art & Design (9-1) 0989,0989,2027,2027,false,false,https://www.cambridgeinternational.org/Images/729780-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-art-and-design-9-1-0989/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0989-2028-2030,CAIE,Cambridge IGCSE,Art & Design (9-1) 0989,0989,2028,2030,false,true,https://www.cambridgeinternational.org/Images/743322-2028-2030-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-art-and-design-9-1-0989/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0538-2025-2027,CAIE,Cambridge IGCSE,Bahasa Indonesia,0538,2025,2027,true,false,https://www.cambridgeinternational.org/Images/664631-2025-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-bahasa-indonesia-0538/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0538-2028-2030,CAIE,Cambridge IGCSE,Bahasa Indonesia,0538,2028,2030,false,true,https://www.cambridgeinternational.org/Images/745676-2028-2030-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-bahasa-indonesia-0538/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0610-2026-2028,CAIE,Cambridge IGCSE,Biology,0610,2026,2028,true,true,https://www.cambridgeinternational.org/Images/697203-2026-2028-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-biology-0610/,Biology(0610),https://potatopapers.me/#/igcsepapers,467,true,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0970-2026-2028,CAIE,Cambridge IGCSE,Biology (9-1),0970,2026,2028,true,true,https://www.cambridgeinternational.org/Images/697234-2026-2028-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-biology-9-1-0970/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0264-2027-2029,CAIE,Cambridge IGCSE,Business,0264,2027,2029,false,true,https://www.cambridgeinternational.org/Images/718123-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-business-0264/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0774-2027-2029,CAIE,Cambridge IGCSE,Business (9-1),0774,2027,2029,false,true,https://www.cambridgeinternational.org/Images/718158-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-business-9-1-0774/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0450-2026-2026,CAIE,Cambridge IGCSE,Business Studies,0450,2026,2026,true,true,https://www.cambridgeinternational.org/Images/697146-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-business-studies-0450/,Business(0450),https://potatopapers.me/#/igcsepapers,197,true,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0986-2026-2026,CAIE,Cambridge IGCSE,Business Studies (9-1),0986,2026,2026,true,true,https://www.cambridgeinternational.org/Images/697256-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-business-studies-9-1-0986/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0620-2026-2028,CAIE,Cambridge IGCSE,Chemistry,0620,2026,2028,true,true,https://www.cambridgeinternational.org/Images/697205-2026-2028-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-chemistry-0620/,Chemistry(0620),https://potatopapers.me/#/igcsepapers,462,true,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0971-2026-2028,CAIE,Cambridge IGCSE,Chemistry (9-1),0971,2026,2028,true,true,https://www.cambridgeinternational.org/Images/697236-2026-2028-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-chemistry-9-1-0971/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0547-2025-2027,CAIE,Cambridge IGCSE,Chinese (Mandarin) - Foreign Language,0547,2025,2027,true,false,https://www.cambridgeinternational.org/Images/664639-2025-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-chinese-mandarin-foreign-language-0547/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0547-2028-2030,CAIE,Cambridge IGCSE,Chinese (Mandarin) - Foreign Language,0547,2028,2030,false,true,https://www.cambridgeinternational.org/Images/743359-2028-2030-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-chinese-mandarin-foreign-language-0547/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0509-2026-2027,CAIE,Cambridge IGCSE,Chinese - First Language,0509,2026,2027,true,false,https://www.cambridgeinternational.org/Images/697185-2026-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-chinese-first-language-0509/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0509-2028-2029,CAIE,Cambridge IGCSE,Chinese - First Language,0509,2028,2029,false,true,https://www.cambridgeinternational.org/Images/744811-2028-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-chinese-first-language-0509/,,,0,false,,HTTP 200 application/pdf,2026-08-29
